nsd_id,caption,true_captions
30373,a white building with a window,"['A bathroom with wall to wall mirror and sink ', 'A bathroom with wall to wall mirror and sink ', 'The bathroom sink has mirrors around the walls of the counter. ', 'The bathroom sink has mirrors around the walls of the counter. ', 'The sink and mirror of a hotel room', 'The sink and mirror of a hotel room', 'A public bathroom with mirrors, a telephone, a sink and a counter in it.', 'A public bathroom with mirrors, a telephone, a sink and a counter in it.', 'A bathroom sink and mirror with a phone on the wall.', 'A bathroom sink and mirror with a phone on the wall.']"
25959,a man in a white shirt riding a skateboard,"['Man on a skateboard wearing helmet and knee pads safety gear.', 'Man on a skateboard wearing helmet and knee pads safety gear.', 'An older man skateboarding in a parking lot.', 'An older man skateboarding in a parking lot.', 'A man riding safety gear while atop a skateboard.', 'A man riding safety gear while atop a skateboard.', 'An older gentleman riding a skate board through a course of orange cones.', 'An older gentleman riding a skate board through a course of orange cones.', 'A man riding a skateboard through orange cones.', 'A man riding a skateboard through orange cones.']"
65414,a cat is standing on a wooden bench,"['A gray tiger stripe cat laying on top of a wooden bench.', 'A gray tiger stripe cat laying on top of a wooden bench.', 'a cat leans on the back of a bench', 'a cat leans on the back of a bench', 'The cat is lazily laying on the bench.', 'The cat is lazily laying on the bench.', 'A cat stretched out  on a bench with its head up .', 'A cat stretched out  on a bench with its head up .', 'A striped cat laying on a wooden bench', 'A striped cat laying on a wooden bench']"
42171,a man and a woman standing on a field,"['A couple of people standing in a field flying a kite.', 'A couple of people standing in a field flying a kite.', 'A man flying a kite stands next to a young boy.', 'A man flying a kite stands next to a young boy.', 'A man and a child who are in a field flying a kite.', 'A man and a child who are in a field flying a kite.', 'A man and child flying a kite together', 'A man and child flying a kite together', 'A man and a boy are in a field flying a kite.', 'A man and a boy are in a field flying a kite.']"
5602,a white and blue building,"['A stop sign by a beach next to some placid water.', 'A stop sign by a beach next to some placid water.', 'A stop sign at the beginning of a white sandy beach. ', 'A stop sign at the beginning of a white sandy beach. ', 'A stop sign and a ferry sign share a pole on the beach', 'A stop sign and a ferry sign share a pole on the beach', 'A Stop sign and other road signs at the beach near the sea', 'A Stop sign and other road signs at the beach near the sea', 'A stop sign on the beach with water in the background.', 'A stop sign on the beach with water in the background.']"
21601,a man is sitting on a beach with a board,"['A man standing next to a street holding a red umbrella.', 'A man standing next to a street holding a red umbrella.', 'Man with red umbrella on tiled walk next to a plainly paved street.', 'Man with red umbrella on tiled walk next to a plainly paved street.', 'The man stands on the sidewalk holding a red umbrella.', 'The man stands on the sidewalk holding a red umbrella.', 'a man standing by the curb with an umbrella', 'a man standing by the curb with an umbrella', 'A person with red umbrella waiting to cross pavement.', 'A person with red umbrella waiting to cross pavement.']"
62302,a small black and white cat sitting on a grassy area,"['a gray and white cat sitting by a window', 'a gray and white cat sitting by a window', 'A long haired gray cat sits on a window sill.', 'A long haired gray cat sits on a window sill.', 'A cat sitting on a windowsill looking outside. ', 'A cat sitting on a windowsill looking outside. ', 'Fluffy grey cat sitting on a window ledge looking outside.', 'Fluffy grey cat sitting on a window ledge looking outside.', 'A cat sitting on top of a window sill looking out a window.', 'A cat sitting on top of a window sill looking out a window.']"
5301,a close up of a flower with a bird on it,"['A red vase sitting on top of a piano filled with red flowers.', 'A red vase sitting on top of a piano filled with red flowers.', 'a red vase filled with some red roses ', 'a red vase filled with some red roses ', 'A red vase with  dozens of roses sitting on a piano.', 'A red vase with  dozens of roses sitting on a piano.', 'a red vase with some roses in it', 'a red vase with some roses in it', 'A vase that has flowers sitting on a piano.', 'A vase that has flowers sitting on a piano.']"
15492,a group of people on a beach with a few people on a bike,"['Several motor bikes going down a city road.', 'Several motor bikes going down a city road.', 'Several motorcyclists driving down a road on a sunny day.', 'Several motorcyclists driving down a road on a sunny day.', 'First person view of several motorcycles driving down a paved road.', 'First person view of several motorcycles driving down a paved road.', 'a motorcycle driving down a high way with others', 'a motorcycle driving down a high way with others', 'a few people riding motorcycles on a raod', 'a few people riding motorcycles on a raod']"
25287,a white and black microwave,"['A white microwave oven sitting on top of a table.', 'A white microwave oven sitting on top of a table.', 'A white colored microwave oven on a small counter top area, under a shelve. ', 'A white colored microwave oven on a small counter top area, under a shelve. ', 'A microwave with the door propped open while sitting on a wooden countertop. ', 'A microwave with the door propped open while sitting on a wooden countertop. ', 'A picture filled with many things all inside.\n', 'A picture filled with many things all inside.\n', 'There is a microwave that is on the counter top', 'There is a microwave that is on the counter top']"
6558,a plate with food on it,"['cups and saucers filled with soups and vegetables on a table', 'cups and saucers filled with soups and vegetables on a table', 'A table topped with plates of food and bowls of soup.', 'A table topped with plates of food and bowls of soup.', 'there are many different plates of food on this table', 'there are many different plates of food on this table', 'salad plate on a wooden table an soup in a bowl', 'salad plate on a wooden table an soup in a bowl', 'A table full of plates and bowls of food.', 'A table full of plates and bowls of food.']"
16723,a man and a woman standing in a field with a kite,"['A jeep parked on a beach with a man standing in front of it watching kites fly.', 'A jeep parked on a beach with a man standing in front of it watching kites fly.', 'a man standing on the sand outside a jeep with kites flying in the bckground', 'a man standing on the sand outside a jeep with kites flying in the bckground', 'A red Jeep is on the sand with some flying kites.', 'A red Jeep is on the sand with some flying kites.', 'A man standing next to his Jeep while he looks at kites in the air.', 'A man standing next to his Jeep while he looks at kites in the air.', 'A man and his jeep on a beach watching people flying kites\n', 'A man and his jeep on a beach watching people flying kites\n']"
40575,a couple of people on a board in the snow,"['A man hugs a woman as they sit in the snow with snowboards on.', 'A man hugs a woman as they sit in the snow with snowboards on.', 'A couple of people sitting on snow while attached to snow boards.', 'A couple of people sitting on snow while attached to snow boards.', 'a couple of people that are on some snowboards', 'a couple of people that are on some snowboards', 'two people riding snowboard on a snowy surface ', 'two people riding snowboard on a snowy surface ', 'Two people in their skiing gear are on the snow and posing for the camera. ', 'Two people in their skiing gear are on the snow and posing for the camera. ']"
45595,a man and woman standing next to a table with a bunch of food,"['Two liquor bottles tower over two partly filled glasses atop a bar counter, as people chat in the background.', 'Two liquor bottles tower over two partly filled glasses atop a bar counter, as people chat in the background.', 'Two glasses or wine, one red and one white, sit with two bottles of wine while people mingle in the background.', 'Two glasses or wine, one red and one white, sit with two bottles of wine while people mingle in the background.', 'Two wine glasses and a bottle on a counter. ', 'Two wine glasses and a bottle on a counter. ', 'Two wine bottles next to wine glasses on a bar.', 'Two wine bottles next to wine glasses on a bar.', 'A counter top with glasses and bottles containing alcohol.', 'A counter top with glasses and bottles containing alcohol.']"
9917,a large airplane flying over a city,"['a blue korean air airplane sitting on the track', 'a blue korean air airplane sitting on the track', 'A Korean Air plane riding down an airport runway.', 'A Korean Air plane riding down an airport runway.', 'A light blue Korean Air plane on the runway.', 'A light blue Korean Air plane on the runway.', 'An airplane from Korean Air is painted in blue.', 'An airplane from Korean Air is painted in blue.', 'there is a very large blue plane at this airport', 'there is a very large blue plane at this airport']"
26598,a large field with a few zebra standing on it,"['A single zebra grazing in a grass field.', 'A single zebra grazing in a grass field.', 'A lone zebra eating grass in a big field.', 'A lone zebra eating grass in a big field.', 'A zebra grazing on a grass field near the edge of a forest.', 'A zebra grazing on a grass field near the edge of a forest.', 'A zebra standing by itself in a field', 'A zebra standing by itself in a field', 'A lone zebra grazing on a lush green hillsided', 'A lone zebra grazing on a lush green hillsided']"
60305,a man holding a tennis racket,"['A person on a court with a tennis racket.', 'A person on a court with a tennis racket.', 'a couple playing doubles tennis together on a court', 'a couple playing doubles tennis together on a court', 'there is a man and a woman playing on the same team in tennis', 'there is a man and a woman playing on the same team in tennis', 'A boy and a girl on a brown and green tennis court with rackets in their hands. ', 'A boy and a girl on a brown and green tennis court with rackets in their hands. ', 'A man standing on a tennis court holding a racquet.', 'A man standing on a tennis court holding a racquet.']"
4786,a group of people walking on a street,"[""a city's traffic with buses, cars and pedestrians crossing."", ""a city's traffic with buses, cars and pedestrians crossing."", 'A view of  city street with some traffic and buildings.', 'A view of  city street with some traffic and buildings.', 'A street with buses, cars and many wire', 'A street with buses, cars and many wire', 'A street filled with lots of traffic and buses driving down a street.', 'A street filled with lots of traffic and buses driving down a street.', 'A city street showing traffic at a stoplight intersection ', 'A city street showing traffic at a stoplight intersection ']"
19181,a plate of food with a knife and fork,"['Two plastic containers filled with food sitting on top of a table.', 'Two plastic containers filled with food sitting on top of a table.', 'Two containers of food with spoons in them.', 'Two containers of food with spoons in them.', 'Two plastic containers filled with food to eat', 'Two plastic containers filled with food to eat', 'Potluck dishes being served on a picnic table.', 'Potluck dishes being served on a picnic table.', 'Two tupperware containers full of two different kinds of food. ', 'Two tupperware containers full of two different kinds of food. ']"
72080,a group of people riding bicycles on a street,"['A group of men riding bikes down a city street.', 'A group of men riding bikes down a city street.', 'Group of bikers riding down a very busy street.', 'Group of bikers riding down a very busy street.', 'Men riding bikes through an intersection on a city street. ', 'Men riding bikes through an intersection on a city street. ', 'a group of people are riding bicycles through traffic', 'a group of people are riding bicycles through traffic', 'Bicycles are often a faster way to get around downtown than automobiles.', 'Bicycles are often a faster way to get around downtown than automobiles.']"
36067,a man standing on a field with a baseball bat,"['a man shaking the hand of a man in a wheel chair ', 'a man shaking the hand of a man in a wheel chair ', 'A man with a skateboard shaking the hand of a man in a chair.', 'A man with a skateboard shaking the hand of a man in a chair.', 'The skateboarder is shaking the hand of a man in a wheelchair as other youngsters watch them.', 'The skateboarder is shaking the hand of a man in a wheelchair as other youngsters watch them.', 'A man with one foot on a skateboard shaking hands with a man in a wheel chair.', 'A man with one foot on a skateboard shaking hands with a man in a wheel chair.', 'A man in a wheelchair shakes the hand of a boy in an orange cap with a skateboard at his feet.', 'A man in a wheelchair shakes the hand of a boy in an orange cap with a skateboard at his feet.']"
71753,a large bus parked on a street,"['A red two story bus drives down the street. ', 'A red two story bus drives down the street. ', 'there is a red double decker bus on the street', 'there is a red double decker bus on the street', 'An English double decker bus parked on the road.', 'An English double decker bus parked on the road.', 'A double red bus seems to be parked on the side. ', 'A double red bus seems to be parked on the side. ', 'A double high bus that is sitting in the street.', 'A double high bus that is sitting in the street.']"
58144,a plate with food on it,"['Pink lunch box with compartments for all types of food', 'Pink lunch box with compartments for all types of food', 'A pink tray has compartments with different foods in it.', 'A pink tray has compartments with different foods in it.', 'A lunch box packed with mac and cheese, vegetables and a treat. ', 'A lunch box packed with mac and cheese, vegetables and a treat. ', 'The lunchbox has a container with food and some liquid in a bottle. ', 'The lunchbox has a container with food and some liquid in a bottle. ', 'Pink lunchbox filled with fruit and vegetables and snacks.', 'Pink lunchbox filled with fruit and vegetables and snacks.']"
11942,"a bathroom with a sink, toilet, and a mirror","['A commercial bathroom with a baby changing station', 'A commercial bathroom with a baby changing station', 'Public bathroom with basin, mirror, towel dispenser, and changing table.', 'Public bathroom with basin, mirror, towel dispenser, and changing table.', 'A clean bathroom with plenty of amenities including a diaper changing table.', 'A clean bathroom with plenty of amenities including a diaper changing table.', 'A very clean store bathroom with a baby changing table.', 'A very clean store bathroom with a baby changing table.', 'A smaller public bathroom, with a baby station, mirror, and towel dispenser. ', 'A smaller public bathroom, with a baby station, mirror, and towel dispenser. ']"
38817,a bus with a yellow stripe,"['A yellow and gray train parked at a train station.', 'A yellow and gray train parked at a train station.', 'The long train is going by here now.', 'The long train is going by here now.', 'Blue and yellow train sitting at station on tracks.', 'Blue and yellow train sitting at station on tracks.', 'a yellow and blue train travelling along train tracks', 'a yellow and blue train travelling along train tracks', 'A yellow and white train pulling into a train station.', 'A yellow and white train pulling into a train station.']"
66489,a building with a door and a window,"['A room that has a kitchen and a shelf with glasses and different alcoholic drinks on it.', 'A room that has a kitchen and a shelf with glasses and different alcoholic drinks on it.', 'a kitchen with a tall spice rack built into the wall ', 'a kitchen with a tall spice rack built into the wall ', 'Inside of a kitchen with a table and cupboard.', 'Inside of a kitchen with a table and cupboard.', 'The kitchen and laundry room were right next to the living area.', 'The kitchen and laundry room were right next to the living area.', 'some stools pans a potted plant a light and some shelves', 'some stools pans a potted plant a light and some shelves']"
71232,a man riding a skateboard down a snowy road,"['A group `of skiers standing at the bottom of the slope', 'A group `of skiers standing at the bottom of the slope', 'The sun shines brightly as many people gather to ski.', 'The sun shines brightly as many people gather to ski.', 'a group of people standing around on the snow ', 'a group of people standing around on the snow ', 'Several groups of people at a snow covered ski slope.', 'Several groups of people at a snow covered ski slope.', 'People wearing skis on a snow covered hill. ', 'People wearing skis on a snow covered hill. ']"
3626,a man sitting on a couch with a cat,"['Man laying on top of bed in green towel working on laptop. ', 'Man laying on top of bed in green towel working on laptop. ', 'A man laying in bed using a laptop computer.', 'A man laying in bed using a laptop computer.', 'A shirtless man is messing with a laptop', 'A shirtless man is messing with a laptop', 'A man lays on a bed with beige colored sheets looks at an open laptop computer.', 'A man lays on a bed with beige colored sheets looks at an open laptop computer.', 'The man is using his computer laying on his bed.', 'The man is using his computer laying on his bed.']"
14528,a kitchen with a sink and a table with a clock on it,"[""a clocks that's  on a wall that is falling down"", ""a clocks that's  on a wall that is falling down"", 'A clock hangs from the wall of a beat up room', 'A clock hangs from the wall of a beat up room', 'An old basement room wall that is falling to pieces.', 'An old basement room wall that is falling to pieces.', 'A clock on a dilapidated broken wall in a house', 'A clock on a dilapidated broken wall in a house', 'there is a broken wall with a clock on it ', 'there is a broken wall with a clock on it ']"
56042,a tall brown and white horse,"['Two giraffes standing with each other in the trees.', 'Two giraffes standing with each other in the trees.', 'Two giraffes standing together in a clearing between trees. ', 'Two giraffes standing together in a clearing between trees. ', 'Two giraffes standing together in the grass surrounded by trees', 'Two giraffes standing together in the grass surrounded by trees', 'Giraffe standing next to each other on a field in a forest.', 'Giraffe standing next to each other on a field in a forest.', 'Two giraffes standing next to each other in front of trees.', 'Two giraffes standing next to each other in front of trees.']"
34238,a close up of a zebra,"['A zebra is eating from the tall brown and green grass.', 'A zebra is eating from the tall brown and green grass.', 'a lone zebra grazing on some grass in a field ', 'a lone zebra grazing on some grass in a field ', 'A jungle scene with a zebra leaning over and eating grass.', 'A jungle scene with a zebra leaning over and eating grass.', 'A zebra grazing in a field during the day.', 'A zebra grazing in a field during the day.', 'A very pretty zebra in a big grassy field.', 'A very pretty zebra in a big grassy field.']"
14121,a man and a woman riding a horse on a road,"['A man riding a horse carriage on a road.', 'A man riding a horse carriage on a road.', 'A horse drawn carriage riding down a rural country road.', 'A horse drawn carriage riding down a rural country road.', 'A man with his belongings riding in a horse drawn wagon.', 'A man with his belongings riding in a horse drawn wagon.', 'A man riding in a buggy with one brown horse.', 'A man riding in a buggy with one brown horse.', 'A man on horse and buggy going down a road.\n', 'A man on horse and buggy going down a road.\n']"
26351,a bird with a black head and a white body,"['a yellow bellied bird perched on a tree limb with its beak open', 'a yellow bellied bird perched on a tree limb with its beak open', ""A bird on a tree branch with it's beak opened."", ""A bird on a tree branch with it's beak opened."", 'A colorful bird stands on a branch and sings', 'A colorful bird stands on a branch and sings', 'A bird vocalizes while standing on a tree limb. ', 'A bird vocalizes while standing on a tree limb. ', 'A bird chirping while perched in a tree.', 'A bird chirping while perched in a tree.']"
11159,"a street with a sign that says ""green""","['A person on some skis in the snow.', 'A person on some skis in the snow.', 'A person skiing across a snow covered forest.', 'A person skiing across a snow covered forest.', 'A skier makes tracks down a path in a snowy forest.', 'A skier makes tracks down a path in a snowy forest.', 'a person is standing near some snow covered trees', 'a person is standing near some snow covered trees', 'A cross country skier traversing a snowy road in a forest', 'A cross country skier traversing a snowy road in a forest']"
29837,a black and white cat sitting on a table,"['A desktop computer keyboard sitting on top of a desk.', 'A desktop computer keyboard sitting on top of a desk.', 'Black cat sitting in front of a keyboard on a cluttered desk. ', 'Black cat sitting in front of a keyboard on a cluttered desk. ', ""A cat sits on a person's lap in front of a messy desk."", ""A cat sits on a person's lap in front of a messy desk."", 'A person sitting at a computer desk with a cat.', 'A person sitting at a computer desk with a cat.', 'A person sitting at a desk with a cat in front of a keyboard.', 'A person sitting at a desk with a cat in front of a keyboard.']"
48681,a desk with a chair and a table,"['A lap top sitting on the corner of a desk un-attended.', 'A lap top sitting on the corner of a desk un-attended.', 'A corner office with a laptop open and on.', 'A corner office with a laptop open and on.', 'A office cubicle workstation with a computer, chair, and other office supplies. ', 'A office cubicle workstation with a computer, chair, and other office supplies. ', 'An office desk with a chair and laptop.', 'An office desk with a chair and laptop.', 'A office cubical with a computer and a telephone.', 'A office cubical with a computer and a telephone.']"
14594,a bird standing on a rock,"['A bird standing on the edge of a pond with vegetation. ', 'A bird standing on the edge of a pond with vegetation. ', 'A BIRD IS STANDING ON THE SIDE OF THE BANKS LOOKING AT THE WATER', 'A BIRD IS STANDING ON THE SIDE OF THE BANKS LOOKING AT THE WATER', 'A white swan is perched on the side of a green', 'A white swan is perched on the side of a green', 'The white bird sat at the end of the grass near the water.', 'The white bird sat at the end of the grass near the water.', 'A white swan observing the murky lake water.', 'A white swan observing the murky lake water.']"
24480,a train is parked on a street with a sign,"['A red and blue train traveling through a rural countryside.', 'A red and blue train traveling through a rural countryside.', 'A train car moving down the track at a crossing.', 'A train car moving down the track at a crossing.', 'A train on a train track pulling into a station.', 'A train on a train track pulling into a station.', 'The blue and red train is coming down the tracks.', 'The blue and red train is coming down the tracks.', 'A blue and red train on some tracks surrounded by grass.', 'A blue and red train on some tracks surrounded by grass.']"
36974,a tree with a bench in front of it,"['A lake sitting next to a lush green forest.', 'A lake sitting next to a lush green forest.', 'A bench sitting behind a fence overlooking a body of water.', 'A bench sitting behind a fence overlooking a body of water.', 'A pond is shown with plants growing in it.', 'A pond is shown with plants growing in it.', 'Lone park bench amongst trees on shore of lake.', 'Lone park bench amongst trees on shore of lake.', 'A bunch of trees in the dirt near water.', 'A bunch of trees in the dirt near water.']"
36910,a small animal is sitting on a bench,"['a cow standing beside a group of trees', 'a cow standing beside a group of trees', 'A brown and white cow is standing in bushes.', 'A brown and white cow is standing in bushes.', 'A milk cow looks up from her midday munch of grass. ', 'A milk cow looks up from her midday munch of grass. ', 'A beige and white cow with horns in the vegetation.', 'A beige and white cow with horns in the vegetation.', 'A cow is standing near trees and staring straight ahead. ', 'A cow is standing near trees and staring straight ahead. ']"
16702,a train is parked on a grassy area,"['A train traveling down tracks through an area with lots of green trees.', 'A train traveling down tracks through an area with lots of green trees.', 'a train drives through an area of some trees and houses', 'a train drives through an area of some trees and houses', 'A short train on train tracks between trees.', 'A short train on train tracks between trees.', 'A train with three cars going down a track by itself.', 'A train with three cars going down a track by itself.', 'A train that is sitting on train tracks.', 'A train that is sitting on train tracks.']"
61748,a man standing in front of a building with a bike,"['A man wearing a tie and glasses is standing by a door.', 'A man wearing a tie and glasses is standing by a door.', 'A man dressed in suit coat and tie standing against interior door.', 'A man dressed in suit coat and tie standing against interior door.', 'A man standing in a hallway with glasses on. ', 'A man standing in a hallway with glasses on. ', 'A man in black jacket wearing a striped tie by door.', 'A man in black jacket wearing a striped tie by door.', 'Well dressed man standing in front of a door ', 'Well dressed man standing in front of a door ']"
8006,a man riding a surf board on a beach,"['A surfer is in mid air while catching a wave.', 'A surfer is in mid air while catching a wave.', 'A surfer riding a wave in the ocean on a green surf board.', 'A surfer riding a wave in the ocean on a green surf board.', 'The boy rides the ocean waves on a wake board.', 'The boy rides the ocean waves on a wake board.', 'a person surfing on a medium sized wave', 'a person surfing on a medium sized wave', 'A person riding a wave in the ocean on a surfboard.', 'A person riding a wave in the ocean on a surfboard.']"
13138,a close up of a man holding a white and green drink,"['A man holding a glass of white wine.', 'A man holding a glass of white wine.', 'A man with glass holding up a wine glass. ', 'A man with glass holding up a wine glass. ', 'A man wearing eye glasses holding a wine glass.', 'A man wearing eye glasses holding a wine glass.', 'A man in tan shirt holding a glass of wine.', 'A man in tan shirt holding a glass of wine.', 'MAN IN TAN SHIRT HOLDING UP A WINE GLASS AS IF TOASTING', 'MAN IN TAN SHIRT HOLDING UP A WINE GLASS AS IF TOASTING']"
25454,a man playing baseball on a field with a crowd watching,"['The stands full of people at a baseball game behind the hitter, catcher and umpire.  ', 'The stands full of people at a baseball game behind the hitter, catcher and umpire.  ', 'As a baseball game is happening, people are observing. ', 'As a baseball game is happening, people are observing. ', 'The baseball players are playing in the crowded stadium.', 'The baseball players are playing in the crowded stadium.', 'Batter with hands very high waiting to swing at a pitch', 'Batter with hands very high waiting to swing at a pitch', 'A baseball player with his bat raised high above his head.', 'A baseball player with his bat raised high above his head.']"
9230,a wooden board with a boat sitting on it,"['A couple of boats sitting next to a dock.', 'A couple of boats sitting next to a dock.', 'Two boats connected to a wooden dock on a still lake', 'Two boats connected to a wooden dock on a still lake', 'Two identical row boats side by side in water at dock.', 'Two identical row boats side by side in water at dock.', 'Two boats parked in holding spots attatched to a dock.', 'Two boats parked in holding spots attatched to a dock.', 'two small fishing boats tied up at t a pier ', 'two small fishing boats tied up at t a pier ']"
9048,a kitchen with a sink and a table,"['A bathroom with a black sink and a shelf with folded towels on the rack above.', 'A bathroom with a black sink and a shelf with folded towels on the rack above.', 'A renovated bathroom with new cabinet, mirror and light', 'A renovated bathroom with new cabinet, mirror and light', 'A mirror is hanging inside of a bathroom.', 'A mirror is hanging inside of a bathroom.', 'a bath room with a toilet a sink and a mirror', 'a bath room with a toilet a sink and a mirror', 'A hotel bathroom with an antique sink and amenities.', 'A hotel bathroom with an antique sink and amenities.']"
45999,a close up of a small animal on a green field,"['A gray sheep eating green grass on the side of a hill.', 'A gray sheep eating green grass on the side of a hill.', 'A sheep grazes on a grassy hill in an enclosed area.', 'A sheep grazes on a grassy hill in an enclosed area.', 'An animal standing in the grass near a fence.', 'An animal standing in the grass near a fence.', 'Black-and-white sheep eating grass on the side of the mountain. ', 'Black-and-white sheep eating grass on the side of the mountain. ', 'a sheep grazes on some green grass ', 'a sheep grazes on some green grass ']"
42851,a restaurant with a table and chairs,"['An umbrella covered table sitting outside of a restaurant.', 'An umbrella covered table sitting outside of a restaurant.', 'An umbrella provides shade for a small table', 'An umbrella provides shade for a small table', 'An umbrella table with chairs near a gate. ', 'An umbrella table with chairs near a gate. ', 'An open seat for people to enjoy a meal outside. ', 'An open seat for people to enjoy a meal outside. ', 'there are tow chairs and a table along with a umbrella ', 'there are tow chairs and a table along with a umbrella ']"
22515,a couch with a cat sitting on it,"['A bedroom with a large bed and cover with two bedroom lamps.', 'A bedroom with a large bed and cover with two bedroom lamps.', 'The hotel room has a brown print bedspread and drapes to match.', 'The hotel room has a brown print bedspread and drapes to match.', 'A hotel room with bright lamps and a made bed', 'A hotel room with bright lamps and a made bed', 'A bedroom area with bed, nightstand and window.', 'A bedroom area with bed, nightstand and window.', 'A hotel bed room with a bucket on the bed.', 'A hotel bed room with a bucket on the bed.']"
40840,a large brown and black animal,"['Two giraffes standing by a tree with a forest in the background.', 'Two giraffes standing by a tree with a forest in the background.', 'an image of two giraffes grazing in the wilderness', 'an image of two giraffes grazing in the wilderness', 'Two giraffes stand near a tree, one giraffe has its face up to the trunk.', 'Two giraffes stand near a tree, one giraffe has its face up to the trunk.', 'Two giraffes stand in front of a tree.', 'Two giraffes stand in front of a tree.', 'a close up of two giraffes near a tree', 'a close up of two giraffes near a tree']"
